category,screen_name,created_at,text,favorite_count,retweet_count
Sports,NFL,2019-12-01 18:14:42,b'Jarvis just did that \xf0\x9f\x98\xb1\n\nSideline grab of the year?! @God_Son80\n\n\xf0\x9f\x93\xba: #CLEvsPIT on CBS\n\xf0\x9f\x93\xb1: NFL app // Yahoo Sports app\xe2\x80\xa6 https://t.co/2cz5pRctZV',1494,287
Sports,NFL,2019-12-01 18:46:10,"b'.@DeVanteParker11, OH MY! \xf0\x9f\x98\xb1 #FinsUp\n\n\xf0\x9f\x93\xba: #PHIvsMIA on FOX\n\xf0\x9f\x93\xb1: NFL app // Yahoo Sports app\nWatch free on mobile:\xe2\x80\xa6 https://t.co/m82mylCR1g'",1294,297
Sports,NFL,2019-12-01 18:37:17,b'We\xe2\x80\x99ve got another touchdown in the snow! \xe2\x98\x83\xef\xb8\x8f #GoPackGo\n\n@AaronRodgers12 and @AllenLazard connect for a 37-yard\xe2\x80\xa6 https://t.co/BpOcNH5Jwf',1431,268
Sports,NFL,2019-12-01 18:50:44,b'Lamar Jackson scores his 32nd total TD on the year! @lj_era8 #RavensFlock\n\n\xf0\x9f\x93\xba: #SFvsBAL on FOX\n\xf0\x9f\x93\xb1: NFL app // Yahoo S\xe2\x80\xa6 https://t.co/ENrZMu561S',1681,299
Sports,SkySportsPL,2019-12-01 13:10:29,"b'""As a manager I need to pick the team I believe in"" \n\nFreddie Ljungberg explains his first XI selected as Arsenal m\xe2\x80\xa6 https://t.co/nWzUtV22rD'",2042,332
Sports,NFL,2019-12-01 19:22:46,b'That was incredible.\n\n@JamesWashington hangs on for the unreal TD catch! #HereWeGo #CLEvsPIT\n\n\xf0\x9f\x93\xba: CBS\n\xf0\x9f\x93\xb1: NFL app //\xe2\x80\xa6 https://t.co/Lx73ETVQsj',1299,334
Sports,NFL,2019-12-01 18:48:23,b'Another week. Another @lj_era8 juke. \xf0\x9f\x94\xa5 #RavensFlock\n\n\xf0\x9f\x93\xba: #SFvsBAL on FOX\n\xf0\x9f\x93\xb1: NFL app // Yahoo Sports app\nWatch free o\xe2\x80\xa6 https://t.co/nrXB1BSC4w',1312,334
Sports,NFL,2019-12-01 18:58:39,b'MOSTERT. 40 YARDS. @49ers touchdown! \xf0\x9f\x92\xa8 #GoNiners\n\n\xf0\x9f\x93\xba: #SFvsBAL on FOX\n\xf0\x9f\x93\xb1: NFL app // Yahoo Sports app\nWatch free on m\xe2\x80\xa6 https://t.co/RAudQinviO',1737,339
Sports,TheLaSallian,2019-12-01 08:42:40,b'JUST IN: An unknown person reportedly fell from Green Residences in front of the Enrique M. Razon Sports Center. De\xe2\x80\xa6 https://t.co/g1NJy1zJUU',854,263
Sports,BreitbartNews,2019-12-01 02:55:07,"b'\xe2\x80\x9cColin Kaepernick is a national disgrace and I\xe2\x80\x99m tired of seeing him celebrated like he\xe2\x80\x99s a hero,\xe2\x80\x9d wrote former NFL\xe2\x80\xa6 https://t.co/bCrgfjDNmT'",3922,1048
Sports,abscbnsports,2019-12-01 02:46:06,"b""ANOTHER HAUL \xf0\x9f\xa5\x87\xf0\x9f\xa5\x88\n\nKim Mangrobang takes home GOLD in #SEAGames2019 women's triathlon!\n\nKim Kilgroe follows Mangrobang\xe2\x80\xa6 https://t.co/E6btg171t1""",5687,775
Sports,abscbnsports,2019-12-01 08:02:22,"b""HISTORY \xf0\x9f\xa5\x87\xf0\x9f\xa5\x87\n\nThe \xf0\x9f\x87\xb5\xf0\x9f\x87\xad ruled the men's and women's #SEAGames2019 sepak takraw hoops #GalingNatinIto \xc2\xbb\xe2\x80\xa6 https://t.co/ermjgq4VOb""",2316,320
Sports,rapplerdotcom,2019-12-01 03:30:10,b'PHILIPPINE TRIATHLON COMPLETES A #SEAGAMES2019 SWEEP!\nCongratulations to our Pinoy and Pinay triathletes! \xf0\x9f\x87\xb5\xf0\x9f\x87\xad\xf0\x9f\x92\xaa\xf0\x9f\x8f\xbb\n\n\xf0\x9f\xa5\x87Jo\xe2\x80\xa6 https://t.co/n7lcQe1KVU',1520,388
Sports,ABSCBNNews,2019-12-01 00:21:13,"b""1-2 FINISH: Filipino triathletes John Chicano and Kim Remolino dominated the men's individual triathlon event and s\xe2\x80\xa6 https://t.co/lKgOIORE8b""",1903,339
